date;product_name;sum_sales
02/01/24;Jeruk 1/2kg;8
03/01/24;Jeruk 1/2kg;0
04/01/24;Jeruk 1/2kg;0
05/01/24;Jeruk 1/2kg;0
06/01/24;Jeruk 1/2kg;0
07/01/24;Jeruk 1/2kg;0
08/01/24;Jeruk 1/2kg;1
09/01/24;Jeruk 1/2kg;4
10/01/24;Jeruk 1/2kg;0
11/01/24;Jeruk 1/2kg;1
12/01/24;Jeruk 1/2kg;2
13/01/24;Jeruk 1/2kg;1
14/01/24;Jeruk 1/2kg;0
15/01/24;Jeruk 1/2kg;5
16/01/24;Jeruk 1/2kg;0
17/01/24;Jeruk 1/2kg;12
18/01/24;Jeruk 1/2kg;1
19/01/24;Jeruk 1/2kg;5
20/01/24;Jeruk 1/2kg;3
21/01/24;Jeruk 1/2kg;1
22/01/24;Jeruk 1/2kg;1
23/01/24;Jeruk 1/2kg;5
24/01/24;Jeruk 1/2kg;0
25/01/24;Jeruk 1/2kg;0
26/01/24;Jeruk 1/2kg;0
27/01/24;Jeruk 1/2kg;0
28/01/24;Jeruk 1/2kg;0
29/01/24;Jeruk 1/2kg;2
30/01/24;Jeruk 1/2kg;1
31/01/24;Jeruk 1/2kg;1
01/02/24;Jeruk 1/2kg;3
02/02/24;Jeruk 1/2kg;0
03/02/24;Jeruk 1/2kg;0
04/02/24;Jeruk 1/2kg;0
05/02/24;Jeruk 1/2kg;2
06/02/24;Jeruk 1/2kg;1
07/02/24;Jeruk 1/2kg;3
08/02/24;Jeruk 1/2kg;0
09/02/24;Jeruk 1/2kg;4
10/02/24;Jeruk 1/2kg;0
11/02/24;Jeruk 1/2kg;0
12/02/24;Jeruk 1/2kg;3
13/02/24;Jeruk 1/2kg;10
14/02/24;Jeruk 1/2kg;0
15/02/24;Jeruk 1/2kg;2
16/02/24;Jeruk 1/2kg;0
17/02/24;Jeruk 1/2kg;1
18/02/24;Jeruk 1/2kg;0
19/02/24;Jeruk 1/2kg;2
20/02/24;Jeruk 1/2kg;0
21/02/24;Jeruk 1/2kg;0
22/02/24;Jeruk 1/2kg;1
23/02/24;Jeruk 1/2kg;0
24/02/24;Jeruk 1/2kg;0
25/02/24;Jeruk 1/2kg;0
26/02/24;Jeruk 1/2kg;1
27/02/24;Jeruk 1/2kg;3
28/02/24;Jeruk 1/2kg;1
29/02/24;Jeruk 1/2kg;0
01/03/24;Jeruk 1/2kg;0
02/03/24;Jeruk 1/2kg;0
03/03/24;Jeruk 1/2kg;0
04/03/24;Jeruk 1/2kg;0
05/03/24;Jeruk 1/2kg;0
06/03/24;Jeruk 1/2kg;0
07/03/24;Jeruk 1/2kg;0
08/03/24;Jeruk 1/2kg;4
09/03/24;Jeruk 1/2kg;1
10/03/24;Jeruk 1/2kg;7
11/03/24;Jeruk 1/2kg;0
12/03/24;Jeruk 1/2kg;5
13/03/24;Jeruk 1/2kg;4
14/03/24;Jeruk 1/2kg;3
15/03/24;Jeruk 1/2kg;7
16/03/24;Jeruk 1/2kg;4
17/03/24;Jeruk 1/2kg;2
18/03/24;Jeruk 1/2kg;2
19/03/24;Jeruk 1/2kg;7
20/03/24;Jeruk 1/2kg;1
21/03/24;Jeruk 1/2kg;8
22/03/24;Jeruk 1/2kg;1
23/03/24;Jeruk 1/2kg;11
24/03/24;Jeruk 1/2kg;3
25/03/24;Jeruk 1/2kg;3
26/03/24;Jeruk 1/2kg;11
27/03/24;Jeruk 1/2kg;3
28/03/24;Jeruk 1/2kg;7
29/03/24;Jeruk 1/2kg;1
30/03/24;Jeruk 1/2kg;11
31/03/24;Jeruk 1/2kg;2
01/04/24;Jeruk 1/2kg;7
02/04/24;Jeruk 1/2kg;13
03/04/24;Jeruk 1/2kg;1
04/04/24;Jeruk 1/2kg;6
05/04/24;Jeruk 1/2kg;0
06/04/24;Jeruk 1/2kg;13
07/04/24;Jeruk 1/2kg;4
08/04/24;Jeruk 1/2kg;10
09/04/24;Jeruk 1/2kg;2
10/04/24;Jeruk 1/2kg;0
11/04/24;Jeruk 1/2kg;0
12/04/24;Jeruk 1/2kg;0
